rank,uni,measured,predicted,combined
1,Microsoft,182497,13893,84279
2,Carnegie Mellon University,101711,9993,50707
3,Massachusetts Institute of Technology,96078,9602,48144
4,Stanford University,99735,8204,47141
5,University of California - Berkeley,89056,7103,41706
6,IBM,82103,7081,39362
7,Univ. of Illinois at Urbana-Champaign,76061,5797,35138
8,Google,75810,5400,34318
9,French Institute for Research in Computer Science and Automation,58797,6094,29787
10,University of Washington,59401,5102,28443
11,Georgia Institute of Technology,49090,5549,25525
12,University of Texas at Austin,48927,4807,24392
13,ETH Zurich,43166,5656,23461
14,University of Toronto,48246,3822,22548
15,University of Michigan,41140,5391,22361
16,University of California - San Diego,44338,3557,20800
17,Max Planck Institute,38498,4675,20452
18,Cornell University,39143,4332,20224
19,Princeton University,40781,3663,19791
20,University of Maryland - College Park,37719,3914,19115
21,Tsinghua University,28958,6828,18773
22,University of Southern California,36176,3881,18517
23,Intel,39733,2678,17691
24,Chinese University of Hong Kong,31867,4215,17369
25,National University of Singapore,29714,4570,16945
26,University of California - Los Angeles,34138,3257,16870
27,Centre national de la recherche scientifique,30114,4357,16861
28,Yahoo!,39660,2245,16758
29,University of Wisconsin - Madison,30577,3808,16368
30,Hong Kong University of Science and Technology,32382,3042,15928
31,Columbia University,29094,3715,15691
32,Chinese Academy of Sciences,23210,6029,15490
33,University of Oxford,29036,3265,15074
34,Purdue University,28368,3414,15030
35,EPFL,26803,3525,14584
36,University of Pennsylvania,27351,2547,13418
37,Nanyang Technological University,21853,3981,13112
38,Pennsylvania State University,27327,2352,13093
39,University of Massachusetts Amherst,26180,2277,12583
40,University of Waterloo,23375,2898,12496
41,University of California - Irvine,26371,2063,12278
42,Technion,21554,3229,12195
43,University of Minnesota,24865,2306,12183
44,University of Cambridge,22875,2371,11589
45,Harvard University,21545,2634,11469
46,University of British Columbia,21282,2292,10906
47,Ohio State University,18946,2828,10708
48,Arizona State University,19901,2306,10425
49,University College London,18714,2642,10402
50,Imperial College London,17534,2841,10157
51,Rutgers University,19259,2086,9886
52,New York University,18993,2115,9831
53,Tel Aviv University,17576,2483,9771
54,KAIST,15854,3123,9738
55,University of California - Santa Barbara,18030,2165,9546
56,University of Edinburgh,17817,2220,9539
57,TU Munich,15942,2545,9194
58,Johns Hopkins University,18695,1751,9187
59,University of Tokyo,15768,2399,8963
60,Peking University,14068,3002,8851
61,University of North Carolina,16301,2021,8714
62,Duke University,16756,1780,8552
63,Shanghai Jiao Tong University,12980,3022,8383
64,Weizmann Institute of Science,17520,1489,8363
65,North Carolina State University,17913,1406,8349
66,Simon Fraser University,16294,1566,8070
67,University of California - Davis,15672,1577,7869
68,National Taiwan University,14454,1793,7728
69,NEC,15790,1408,7646
70,Hebrew University of Jerusalem,15959,1289,7502
71,Ecole Normale Superieure,17181,996,7312
72,Brown University,14005,1484,7142
73,KU Leuven,12804,1812,7122
74,California Institute of Technology,17085,887,7034
75,Texas A&M University,12091,1913,6954
76,Rice University,13375,1420,6825
77,Karlsruhe Institute of Technology,12734,1505,6710
78,University of Virginia,15209,972,6665
79,Stony Brook University,11118,2004,6649
80,Virginia Tech,11454,1793,6567
81,Zhejiang University,10203,2310,6534
82,Northwestern University,12641,1378,6502
83,University of Florida,11909,1562,6475
84,Seoul National University,10053,2042,6232
85,University of Utah,12521,1204,6202
86,Northeastern University,9358,2353,6185
87,RWTH Aachen,11476,1390,6092
88,Michigan State University,10465,1650,6013
89,Wellcome Trust,35676,88,5889
90,Vienna University of Technology,10923,1308,5779
91,AT&T Labs,14396,650,5684
92,Delft University of Technology,10260,1426,5676
93,University of Manchester,10379,1317,5587
94,TU Darmstadt,8954,1795,5529
95,City University of Hong Kong,9048,1587,5367
96,University of California - Riverside,9627,1341,5329
97,University of Illinois at Chicago,10605,1058,5311
98,McGill University,8982,1515,5266
99,University of Pittsburgh,9651,1259,5239
100,University of Central Florida,10509,1013,5209
101,University of Freiburg,10107,1002,5052
102,University of Amsterdam,8917,1234,4927
103,Saarland University,8358,1349,4836
104,University of California - Santa Cruz,9909,863,4765
105,University of Alberta,9026,1061,4749
106,Sapienza University of Rome,8294,1275,4729
107,UNSW,8347,1218,4686
108,Yale University,8941,1037,4685
109,Robotics Institute,8283,1205,4645
110,University of Texas at Dallas,7751,1398,4637
111,Graz University of Technology,8324,1182,4635
112,Polytechnic University of Milan,9048,930,4572
113,Boston University,7738,1331,4563
114,Adobe Systems,7657,1303,4501
115,University of Montreal,10123,653,4448
116,Oregon State University,7916,1152,4440
117,University of Science and Technology of China,6599,1697,4391
118,Australian National University,6945,1499,4384
119,Eindhoven University of Technology,8183,1011,4370
120,University of Colorado Boulder,8726,864,4360
121,University of Melbourne,7985,957,4225
122,Facebook,6839,1310,4166
123,Technical University of Berlin,7112,1082,4043
124,KTH Royal Institute of Technology,6430,1335,4012
125,Indiana University,7174,1025,4002
126,The Hong Kong Polytechnic University,6683,1156,3948
127,Iowa State University,7829,793,3939
128,Washington University in St. Louis,7744,809,3932
129,University of Hong Kong,6636,1154,3926
130,Nanjing University,5687,1643,3918
131,Rensselaer Polytechnic Institute,7714,778,3876
132,NICTA,7117,920,3853
133,University of Rochester,7306,832,3807
134,Nvidia,6842,936,3767
135,Huazhong University of Science and Technology,5952,1258,3734
136,Fraunhofer Society,7233,796,3731
137,Bell Labs,7828,659,3726
138,University of Texas at Arlington,7575,708,3720
139,University of Sydney,6680,934,3702
140,University of Bologna,7606,678,3683
141,Hewlett-Packard,9201,434,3681
142,Samsung,5686,1274,3630
143,Bar-Ilan University,6246,1005,3611
144,University of Southampton,6955,781,3609
145,Polytechnic University of Catalonia,6065,1063,3597
146,University of Stuttgart,5972,1059,3554
147,University of Trento,6521,849,3537
148,Ben-Gurion University of the Negev,5939,998,3478
149,"Agency for Science, Technology and Research",5481,1178,3456
150,University of Chicago,6326,829,3438
151,Siemens,8291,432,3417
152,University of Arizona,6458,774,3417
153,Illinois Institute of Technology,7126,605,3400
154,Courant Institute of Mathematical Sciences,8521,372,3331
155,University of Calgary,6226,738,3284
156,hp labs,7427,467,3239
157,National Chiao Tung University,5168,995,3153
158,Dartmouth College,6017,690,3142
159,Fudan University,4782,1088,3067
160,Tokyo Institute of Technology,5700,716,3059
161,University at Buffalo,4708,1081,3028
162,Ludwig Maximilian University of Munich,6119,584,3024
163,Lancaster University,5297,758,2956
164,Aarhus University,4764,967,2953
165,Harbin Institute of Technology,4647,1023,2951
166,University of Bonn,5176,793,2948
167,University of Paris,5051,800,2906
168,Polytechnic University of Turin,5301,695,2882
169,National Tsing Hua University,5242,695,2859
170,Queen Mary University of London,4852,817,2843
171,University of Queensland,5127,708,2831
172,George Mason University,5231,645,2792
173,University of Glasgow,5048,660,2742
174,Osaka University,4585,807,2723
175,Disney Research,4110,1019,2705
176,Indian Institute of Science,3568,1406,2698
177,"University of California, Merced",4781,704,2691
178,University of Adelaide,3755,1232,2688
179,Sandia National Laboratories,5716,456,2677
180,Singapore Management University,4069,999,2670
181,Czech Technical University in Prague,5059,595,2662
182,University of Twente,5431,503,2660
183,Dresden University of Technology,4470,765,2632
184,Aalborg University,5066,560,2617
185,Kyoto University,4272,834,2617
186,University of Nebraska,5195,528,2616
187,University of Bristol,4196,845,2594
188,Ghent University,4904,572,2574
189,University of Pisa,4904,565,2565
190,University of Delaware,4805,568,2532
191,Temple University,4188,777,2527
192,University of Erlangen-Nuremberg,4260,740,2520
193,University of Sheffield,4426,663,2504
194,College of Western Idaho,5585,383,2500
195,Wayne State University,4801,511,2452
196,University of Connecticut,4603,541,2422
197,Stevens Institute of Technology,4827,481,2417
198,VU University Amsterdam,4263,638,2411
199,Queensland University of Technology,4232,636,2397
200,Aalto University,3058,1330,2382
201,Ruhr-University Bochum,3646,835,2343
202,Xerox,4812,434,2338
203,National Cheng Kung University,4591,483,2336
204,University of Notre Dame,4204,575,2315
205,University of Surrey,4227,566,2312
206,Xi'an Jiaotong University,3474,883,2303
